2010,S013671
2015,S013633
2014,S013633
2013,S013633
2012,S013633
2011,S013633
2010,S013633
2015,S012337
2014,S012337
2013,S012337
2012,S012337
2011,S012337
2010,S012337
2009,S012337
2015,S019598
2014,S019598
2013,S019598
2012,S019598
2011,S019598
2010,S019598
2015,S019604
2014,S019604
2013,S019604
2012,S019604
2011,S019604
2010,S019604
2015,S013587
2014,S013587
2013,S013587
2012,S013587
2011,S013587
2010,S013587
2015,S019584
2014,S019584
2013,S019584
2012,S019584
2011,S019584
2010,S019584
2015,S019601
2014,S019601
2013,S019601
2012,S019601
2011,S019601
2010,S019601
2015,S013691
2014,S013691
2013,S013691
2012,S013691
2011,S013691
2011,S013691
2010,S013691
2015,S013571
2014,S013571
2013,S013571
2012,S013571
2011,S013571
2010,S013571
2015,S013592
2014,S013592
2013,S013592
2012,S013592
2011,S013592
2010,S013592
2015,S013603
2014,S013603
2013,S013603
2012,S013603
2011,S013603
2010,S013603
2015,S020450
2014,S020450
2013,S020450
2012,S020450
2011,S020450
2010,S020450
2015,S019607
2014,S019607
2013,S019607
2012,S019607
2011,S019607
2010,S019607
2015,S013674
2014,S013674
2013,S013674
2012,S013674
2011,S013674
2010,S013674
2015,S013609
2014,S013609
2013,S013609
2012,S013609
2011,S013609
2010,S013609
2015,S013631
2014,S013631
2013,S013631
2012,S013631
2011,S013631
2010,S013631
2015,S019198
2014,S019198
2013,S019198
2012,S019198
2011,S019198
2010,S019198
2015,S013589
2014,S013589
2013,S013589
2012,S013589
2011,S013589
2010,S013589
2015,S012357
2014,S012357
2013,S012357
2012,S012357
2011,S012357
2010,S012357
2009,S012357
2015,S013661
2014,S013661
2013,S013661
2012,S013661
2011,S013661
2010,S013661
2015,S019768
2014,S019768
2013,S019768
2012,S019768
2011,S019768
2010,S019768
2015,S013594
2014,S013594
2013,S013594
2012,S013594
2011,S013594
2010,S013594
2015,S013640
2014,S013640
2013,S013640
2012,S013640
2011,S013640
2010,S013640
2015,S012352
2014,S012352
2013,S012352
2012,S012352
2011,S012352
2010,S012352
2009,S012352
2015,S019661
2014,S019661
2013,S019661
2012,S019661
2011,S019661
2010,S019661
2015,S012338
2014,S012338
2013,S012338
2012,S012338
2011,S012338
2010,S012338
2009,S012338
2015,S019708
2014,S019708
2013,S019708
2012,S019708
2011,S019708
2010,S019708
2015,S013590
2014,S013590
2013,S013590
2012,S013590
2011,S013590
2010,S013590
2015,S013625
2014,S013625
2013,S013625
2012,S013625
2011,S013625
2010,S013625
2015,S019592
2014,S019592
2013,S019592
2012,S019592
2011,S019592
2010,S019592
2015,S012329
2014,S012329
2013,S012329
2012,S012329
2011,S012329
2010,S012329
2009,S012329
2015,S013628
2014,S013628
2013,S013628
2012,S013628
2011,S013628
2010,S013628
2015,S013668
2014,S013668
2013,S013668
2012,S013668
2011,S013668
2010,S013668
2015,S023165
2014,S023165
2013,S023165
2015,S023164
2015,S023164
2014,S023164
2013,S023164
2015,S022698
2014,S022698
2014,S022698
2013,S022698
2012,S022698
2012,S021903
2011,S021903
2010,S021903
2012,S021902
2011,S021902
2010,S021902
2012,S015851
2011,S015851
2010,S015851
2009,S015851
2008,S015851
2007,S015851
2012,S020689
2012,S020689
2011,S020689
2010,S020689
2012,S020693
2011,S020693
2010,S020693
2012,S020685
2011,S020685
2010,S020685
2016,S022338
2015,S022338
2014,S022338
2013,S022338
2012,S022338
2011,S022338
2015,S024832
2014,S024832
2013,S024832
2015,S024835
2014,S024835
2013,S024835
2016,S025991
2014,S019512
2013,S019512
2012,S019512
2011,S019512
2010,S019512
2014,S016465
2013,S016465
2012,S016465
2011,S016465
2010,S016465
2009,S016465
2015,S016203
2014,S016203
2013,S016203
2012,S016203
2015,S010757
2015,S010757
2015,S010757
2014,S010757
2014,S010757
2014,S010757
2015,S019880
2014,S019880
2013,S019880
2012,S019880
2011,S019880
2010,S019880
2015,S019898
2014,S019898
2013,S019898
2012,S019898
2012,S019898
2011,S019898
2010,S019898
2015,S019895
2014,S019895
2013,S019895
2012,S019895
2011,S019895
2010,S019895
2015,S022524
2014,S022524
2013,S022524
2012,S022524
2014,S022838
2013,S022838
2012,S022838
2015,S022825
2014,S022825
2013,S022825
2012,S022825
2015,S022826
2014,S022826
2013,S022826
2012,S022826
2016,S025983
2016,S025944
2016,S025948
2015,S022754
2014,S022754
2013,S022754
2012,S022754
2015,S023008
2014,S023008
2014,S023008
2013,S023008
2012,S023008
2015,S024110
2014,S024110
2013,S024110
2014,S022695
2014,S022695
2013,S022695
2013,S022695
2012,S022695
2015,S023715
2014,S023715
2013,S023715
2013,S023715
2015,S013092
2014,S013092
2013,S013092
2012,S013092
2011,S013092
2010,S013092
2009,S013092
2015,S013093
2015,S013093
2014,S013093
2014,S013093
2013,S013093
2012,S013093
2011,S013093
2010,S013093
2009,S013093
2016,S025874
2016,S025974
2015,S022779
2014,S022779
2013,S022779
2012,S022779
2015,S022791
2014,S022791
2013,S022791
2012,S022791
2015,S022792
2014,S022792
2013,S022792
2012,S022792
2015,S022783
2014,S022783
2013,S022783
2012,S022783
2015,S022789
2014,S022789
2013,S022789
2012,S022789
2015,S022790
2014,S022790
2013,S022790
2012,S022790
2015,S024343
2014,S024343
2014,S024343
2013,S024343
2016,S025889
2016,S025890
2015,S023177
2014,S023177
2012,S023177
2010,S023177
2016,S025857
2016,S025951
2015,S010795
2014,S010795
2013,S010795
2013,S010795
2012,S010795
2011,S010795
2011,S010795
2010,S010795
2010,S010795
2009,S010795
2009,S010795
2014,S018807
2013,S018807
2012,S018807
2011,S018807
2010,S018807
2014,S016449
2013,S016449
2012,S016449
2011,S016449
2015,S017931
2014,S017931
2013,S017931
2012,S017931
2012,S017931
2011,S017931
2011,S017931
2010,S017931
2010,S017931
2015,S018751
2014,S018751
2013,S018751
2012,S018751
2011,S018751
2010,S018751
2015,S018752
2014,S018752
2013,S018752
2012,S018752
2011,S018752
2010,S018752
2015,S018750
2015,S018750
2014,S018750
2013,S018750
2013,S018750
2012,S018750
2011,S018750
2010,S018750
2016,S025848
2016,S025827
2016,S025718
2016,S025712
2016,S025710
2015,S025803
2014,S025803
2001,S025803
1976,S025803
2016,S025802
2016,S025829
2016,S025829
2015,S025829
2016,S025830
2015,S025830
2016,S025820
2015,S025820
2016,S025819
2016,S025819
